!!$**********************************************************************************
!!$
!!$                     COPYRIGHT (C) 2020 HADI BORDBAR
!!$
!!$                     DEPARTMENT OF CIVIL ENGINEERING
!!$                       AALTO UNIVERSITY, FINLAND
!!$
!!$	License: 
!!$		Used for non-commercial purposes only with the permission of the copywriter
!!$		Not to be distributed without the permission of the copywriter
!!$
!!$**********************************************************************************
=========================================================================================
The final model parameters for pressurized WSGG model
Based on Emissivity datasets obtained by LBL data
of linear absorption coefficient of two gases
Programmed and obtained by Hadi Bordbar, Aalto University, Finland.
=========================================================================================
Case Information
Total Pressure=80.000000 atm
The emissivity datasets have been obtained for the following conditions
33 Mr points: 0.1, 0.125....4.0
55 temperature points 300-3000 K with the step of 50 K
19 path length points; 0.01,0.05,0.1,0.2,0.3,0.4,0.5,0.75,1.0,1.5,2.0,3.0,5.0,10.015.0,20.0,30.0,45.0,60.0 m 
==================================================================================================================
  Pt (atm)    a(i,j)or k(i)         b4            b3            b2            b1            b0 
 ========================================================================================================
 80.000000         1 1       1.580848e-02  -1.467808e-01  4.574093e-01  -4.979025e-01  1.363039e+00  
 80.000000         1 2       -8.816650e-02  8.208875e-01  -2.574078e+00  2.848821e+00  -1.402393e+00  
 80.000000         1 3       1.084450e-01  -9.992680e-01  3.066564e+00  -3.153436e+00  1.568343e-01  
 80.000000         1 4       -5.156939e-02  4.700848e-01  -1.409347e+00  1.326894e+00  2.857383e-01  
 80.000000         1 5       8.662041e-03  -7.817674e-02  2.292052e-01  -1.962201e-01  -8.794490e-02  
 80.000000         1 0       -4.329598e-03  4.717772e-02  -2.089658e-01  5.360481e-01  1.746660e+00  
 80.000000         2 1       -2.357807e-02  2.210541e-01  -7.043332e-01  8.325524e-01  -6.453116e-01  
 80.000000         2 2       1.380458e-01  -1.297916e+00  4.162310e+00  -5.010178e+00  3.186950e+00  
 80.000000         2 3       -1.979316e-01  1.857238e+00  -5.936595e+00  7.099736e+00  -3.403600e+00  
 80.000000         2 4       1.017002e-01  -9.497664e-01  3.009154e+00  -3.517501e+00  1.417811e+00  
 80.000000         2 5       -1.777200e-02  1.651060e-01  -5.178561e-01  5.887332e-01  -2.110302e-01  
 80.000000         2 0       1.118027e-03  -1.012600e-02  2.769060e-02  -6.637245e-03  1.698693e-01  
 80.000000         3 1       5.636496e-03  -5.240619e-02  1.658062e-01  -2.028289e-01  2.363395e-01  
 80.000000         3 2       -3.706634e-02  3.444877e-01  -1.090767e+00  1.340278e+00  -1.510617e+00  
 80.000000         3 3       6.801650e-02  -6.336307e-01  2.017579e+00  -2.519144e+00  2.886025e+00  
 80.000000         3 4       -4.115373e-02  3.829016e-01  -1.217713e+00  1.521978e+00  -1.718306e+00  
 80.000000         3 5       8.089165e-03  -7.513567e-02  2.384112e-01  -2.975275e-01  3.324877e-01  
 80.000000         3 0       1.976740e-04  -2.159458e-03  8.300410e-03  -1.235845e-02  2.532892e-02  
 80.000000         4 1       2.546685e-03  -2.612822e-02  9.753800e-02  -1.624506e-01  7.644222e-02  
 80.000000         4 2       -1.666404e-02  1.717005e-01  -6.444155e-01  1.080628e+00  -5.025993e-01  
 80.000000         4 3       3.217140e-02  -3.321354e-01  1.249162e+00  -2.098318e+00  8.784235e-01  
 80.000000         4 4       -1.893544e-02  1.965488e-01  -7.451085e-01  1.266708e+00  -3.915663e-01  
 80.000000         4 5       3.595895e-03  -3.751303e-02  1.432193e-01  -2.457641e-01  5.251924e-02  
 80.000000         4 0       -1.227922e-05  9.405181e-05  -1.932819e-04  -3.798443e-06  1.397533e-03  
