!!$**********************************************************************************
!!$
!!$                     COPYRIGHT (C) 2020 HADI BORDBAR
!!$
!!$                     DEPARTMENT OF CIVIL ENGINEERING
!!$                       AALTO UNIVERSITY, FINLAND
!!$
!!$	License: 
!!$		Used for non-commercial purposes only with the permission of the copywriter
!!$		Not to be distributed without the permission of the copywriter
!!$
!!$**********************************************************************************
=========================================================================================
The final model parameters for pressurized WSGG model
Based on Emissivity datasets obtained by LBL data
of linear absorption coefficient of two gases
Programmed and obtained by Hadi Bordbar, Aalto University, Finland.
=========================================================================================
Case Information
Total Pressure=50.000000 atm
The emissivity datasets have been obtained for the following conditions
33 Mr points: 0.1, 0.125....4.0
55 temperature points 300-3000 K with the step of 50 K
19 path length points; 0.01,0.05,0.1,0.2,0.3,0.4,0.5,0.75,1.0,1.5,2.0,3.0,5.0,10.015.0,20.0,30.0,45.0,60.0 m 
==================================================================================================================
  Pt (atm)    a(i,j)or k(i)         b4            b3            b2            b1            b0 
 ========================================================================================================
 50.000000         1 1       1.158154e-02  -1.085606e-01  3.423403e-01  -3.752825e-01  1.207890e+00  
 50.000000         1 2       -7.739764e-02  7.392056e-01  -2.423842e+00  2.986617e+00  -1.720288e+00  
 50.000000         1 3       1.072885e-01  -1.017728e+00  3.294628e+00  -3.918425e+00  9.816193e-01  
 50.000000         1 4       -5.600273e-02  5.272576e-01  -1.681848e+00  1.914401e+00  -2.407389e-01  
 50.000000         1 5       1.014050e-02  -9.485206e-02  2.986094e-01  -3.259823e-01  1.821328e-02  
 50.000000         1 0       -2.035514e-02  1.904353e-01  -6.267186e-01  9.261706e-01  2.524843e+00  
 50.000000         2 1       -1.737326e-02  1.654952e-01  -5.406856e-01  6.726197e-01  -4.180049e-01  
 50.000000         2 2       1.191879e-01  -1.145997e+00  3.821444e+00  -5.033745e+00  3.305671e+00  
 50.000000         2 3       -1.848575e-01  1.775019e+00  -5.907733e+00  7.757424e+00  -4.263904e+00  
 50.000000         2 4       1.019654e-01  -9.738182e-01  3.210262e+00  -4.124156e+00  2.069529e+00  
 50.000000         2 5       -1.895311e-02  1.799581e-01  -5.869605e-01  7.349982e-01  -3.528172e-01  
 50.000000         2 0       -2.322349e-03  1.987226e-02  -5.631151e-02  6.840376e-02  2.289768e-01  
 50.000000         3 1       4.522556e-03  -4.402444e-02  1.503244e-01  -2.168721e-01  1.487031e-01  
 50.000000         3 2       -3.593442e-02  3.424379e-01  -1.132460e+00  1.541500e+00  -1.203370e+00  
 50.000000         3 3       6.995096e-02  -6.643069e-01  2.183072e+00  -2.914130e+00  2.659611e+00  
 50.000000         3 4       -4.523182e-02  4.267471e-01  -1.386283e+00  1.802152e+00  -1.663364e+00  
 50.000000         3 5       9.369103e-03  -8.785749e-02  2.823246e-01  -3.581959e-01  3.287394e-01  
 50.000000         3 0       -6.869626e-04  5.770465e-03  -1.504361e-02  1.126143e-02  3.282649e-02  
 50.000000         4 1       1.157817e-03  -1.177438e-02  4.407417e-02  -7.582958e-02  7.922962e-02  
 50.000000         4 2       -6.071875e-03  6.662823e-02  -2.756833e-01  5.364476e-01  -5.329256e-01  
 50.000000         4 3       1.136961e-02  -1.304349e-01  5.680902e-01  -1.168774e+00  1.015581e+00  
 50.000000         4 4       -6.133730e-03  7.328249e-02  -3.341980e-01  7.233413e-01  -5.081216e-01  
 50.000000         4 5       1.050476e-03  -1.309386e-02  6.243526e-02  -1.413790e-01  8.111101e-02  
 50.000000         4 0       -5.338233e-05  4.818336e-04  -1.440866e-03  1.526377e-03  1.823054e-03  
