!!$**********************************************************************************
!!$
!!$                     COPYRIGHT (C) 2020 HADI BORDBAR
!!$
!!$                     DEPARTMENT OF CIVIL ENGINEERING
!!$                       AALTO UNIVERSITY, FINLAND
!!$
!!$	License: 
!!$		Used for non-commercial purposes only with the permission of the copywriter
!!$		Not to be distributed without the permission of the copywriter
!!$
!!$**********************************************************************************
=========================================================================================
The final model parameters for pressurized WSGG model
Based on Emissivity datasets obtained by LBL data
of linear absorption coefficient of two gases
Programmed and obtained by Hadi Bordbar, Aalto University, Finland.
=========================================================================================
Case Information
Total Pressure=0.100000 atm
The emissivity datasets have been obtained for the following conditions
33 Mr points: 0.1, 0.125....4.0
55 temperature points 300-3000 K with the step of 50 K
19 path length points; 0.01,0.05,0.1,0.2,0.3,0.4,0.5,0.75,1.0,1.5,2.0,3.0,5.0,10.015.0,20.0,30.0,45.0,60.0 m 
==================================================================================================================
  Pt (atm)    a(i,j)or k(i)         b4            b3            b2            b1            b0 
 ========================================================================================================
 0.100000         1 1       -6.685900e-04  3.933149e-03  -2.841629e-04  -2.444340e-02  2.344005e-01  
 0.100000         1 2       -2.098792e-02  2.080654e-01  -7.209707e-01  9.802714e-01  1.400379e-01  
 0.100000         1 3       2.939975e-02  -2.879574e-01  9.735330e-01  -1.231377e+00  -1.571937e-01  
 0.100000         1 4       -1.708275e-02  1.674723e-01  -5.672598e-01  7.181789e-01  1.817616e-02  
 0.100000         1 5       3.551651e-03  -3.493937e-02  1.192537e-01  -1.540319e-01  5.557752e-03  
 0.100000         1 0       -1.017554e-03  1.040575e-02  -3.644496e-02  5.170700e-02  3.165477e-01  
 0.100000         2 1       -3.577247e-03  3.536270e-02  -1.226610e-01  1.625275e-01  1.130485e-01  
 0.100000         2 2       5.206320e-03  -4.541864e-02  1.127374e-01  3.777782e-02  -1.001558e-01  
 0.100000         2 3       -4.291126e-03  3.355905e-02  -5.105109e-02  -2.029116e-01  1.895371e-01  
 0.100000         2 4       2.211430e-03  -1.724749e-02  2.528506e-02  1.107992e-01  -1.588909e-01  
 0.100000         2 5       -4.599316e-04  3.719019e-03  -6.556984e-03  -1.836947e-02  3.918528e-02  
 0.100000         2 0       2.002272e-02  -2.288077e-01  1.026092e+00  -2.200269e+00  5.756086e+00  
 0.100000         3 1       -2.937614e-04  3.620457e-03  -1.739266e-02  4.128732e-02  2.353764e-03  
 0.100000         3 2       2.057353e-04  -2.754456e-03  1.028907e-02  -8.117912e-03  1.640477e-01  
 0.100000         3 3       4.522146e-04  -4.002900e-03  1.684419e-02  -5.293412e-02  -2.194377e-01  
 0.100000         3 4       -4.849540e-04  4.549547e-03  -1.711918e-02  3.982514e-02  1.047667e-01  
 0.100000         3 5       1.226122e-04  -1.159408e-03  4.153182e-03  -8.306492e-03  -1.756947e-02  
 0.100000         3 0       6.029961e-01  -6.582942e+00  2.748795e+01  -5.528350e+01  8.611687e+01  
 0.100000         4 1       -1.858467e-04  2.220414e-03  -1.123514e-02  3.285435e-02  -2.541604e-03  
 0.100000         4 2       5.632082e-04  -6.585776e-03  3.286429e-02  -1.009084e-01  7.006441e-02  
 0.100000         4 3       -5.896098e-04  6.747008e-03  -3.301181e-02  1.038728e-01  -1.070311e-01  
 0.100000         4 4       2.651279e-04  -2.970175e-03  1.419572e-02  -4.513710e-02  5.650898e-02  
 0.100000         4 5       -4.393976e-05  4.826098e-04  -2.249420e-03  7.157266e-03  -1.009958e-02  
 0.100000         4 0       5.193055e+00  -5.536241e+01  2.238764e+02  -4.350202e+02  8.549649e+02  
