!!$**********************************************************************************
!!$
!!$                     COPYRIGHT (C) 2020 HADI BORDBAR
!!$
!!$                     DEPARTMENT OF CIVIL ENGINEERING
!!$                       AALTO UNIVERSITY, FINLAND
!!$
!!$	License: 
!!$		Used for non-commercial purposes only with the permission of the copywriter
!!$		Not to be distributed without the permission of the copywriter
!!$
!!$**********************************************************************************
=========================================================================================
The final model parameters for pressurized WSGG model
Based on Emissivity datasets obtained by LBL data
of linear absorption coefficient of two gases
Programmed and obtained by Hadi Bordbar, Aalto University, Finland.
=========================================================================================
Case Information
Total Pressure=2.000000 atm
The emissivity datasets have been obtained for the following conditions
33 Mr points: 0.1, 0.125....4.0
55 temperature points 300-3000 K with the step of 50 K
19 path length points; 0.01,0.05,0.1,0.2,0.3,0.4,0.5,0.75,1.0,1.5,2.0,3.0,5.0,10.015.0,20.0,30.0,45.0,60.0 m 
==================================================================================================================
  Pt (atm)    a(i,j)or k(i)         b4            b3            b2            b1            b0 
 ========================================================================================================
 2.000000         1 1       1.310940e-02  -1.166388e-01  3.308493e-01  -2.469904e-01  1.393346e-01  
 2.000000         1 2       -5.805354e-03  9.348666e-03  2.576838e-01  -1.292238e+00  1.499160e+00  
 2.000000         1 3       -2.672530e-02  3.167281e-01  -1.437775e+00  3.212802e+00  -2.471892e+00  
 2.000000         1 4       2.241187e-02  -2.433060e-01  9.948648e-01  -1.980672e+00  1.363190e+00  
 2.000000         1 5       -4.860952e-03  5.113995e-02  -2.007281e-01  3.814732e-01  -2.560827e-01  
 2.000000         1 0       -4.444012e-03  3.902196e-02  -1.142416e-01  1.533556e-01  2.655565e-01  
 2.000000         2 1       -5.467445e-03  4.973432e-02  -1.472612e-01  1.369517e-01  4.681367e-01  
 2.000000         2 2       2.416452e-02  -2.250455e-01  6.998591e-01  -7.448333e-01  -1.057076e+00  
 2.000000         2 3       -2.143687e-02  1.961028e-01  -5.814902e-01  4.972582e-01  1.838435e+00  
 2.000000         2 4       5.148287e-03  -4.610653e-02  1.237271e-01  -3.008203e-02  -1.060133e+00  
 2.000000         2 5       -4.829429e-05  3.220504e-04  2.151565e-03  -2.340637e-02  1.971092e-01  
 2.000000         2 0       -6.638353e-04  6.174451e-03  -1.969963e-02  2.600799e-02  2.461363e-02  
 2.000000         3 1       -6.387897e-03  6.706175e-02  -2.593805e-01  4.592861e-01  9.660075e-02  
 2.000000         3 2       1.708003e-02  -1.698619e-01  6.011750e-01  -9.478489e-01  3.712751e-02  
 2.000000         3 3       -1.735681e-02  1.665164e-01  -5.481821e-01  7.429318e-01  -1.233172e-01  
 2.000000         3 4       7.747687e-03  -7.255538e-02  2.259189e-01  -2.603037e-01  5.839966e-02  
 2.000000         3 5       -1.274911e-03  1.173512e-02  -3.498413e-02  3.414299e-02  -8.190269e-03  
 2.000000         3 0       5.457932e-01  -5.739739e+00  2.213836e+01  -3.752260e+01  6.206647e+01  
 2.000000         4 1       -2.133634e-04  -7.183356e-03  8.117830e-02  -2.996347e-01  3.341322e-01  
 2.000000         4 2       -3.681540e-02  3.854664e-01  -1.473752e+00  2.581176e+00  -5.207752e-01  
 2.000000         4 3       6.094123e-02  -6.140077e-01  2.210835e+00  -3.490442e+00  4.777478e-01  
 2.000000         4 4       -3.393826e-02  3.361813e-01  -1.176745e+00  1.759807e+00  -2.326556e-01  
 2.000000         4 5       6.352884e-03  -6.228672e-02  2.142442e-01  -3.093177e-01  4.336136e-02  
 2.000000         4 0       8.941915e-03  -1.125857e-01  4.834536e-01  -4.888323e-01  3.098209e+00  
