!!$**********************************************************************************
!!$
!!$                     COPYRIGHT (C) 2020 HADI BORDBAR
!!$
!!$                     DEPARTMENT OF CIVIL ENGINEERING
!!$                       AALTO UNIVERSITY, FINLAND
!!$
!!$	License: 
!!$		Used for non-commercial purposes only with the permission of the copywriter
!!$		Not to be distributed without the permission of the copywriter
!!$
!!$**********************************************************************************
=========================================================================================
The final model parameters for pressurized WSGG model
Based on Emissivity datasets obtained by LBL data
of linear absorption coefficient of two gases
Programmed and obtained by Hadi Bordbar, Aalto University, Finland.
=========================================================================================
Case Information
Total Pressure=1.000000 atm
The emissivity datasets have been obtained for the following conditions
33 Mr points: 0.1, 0.125....4.0
55 temperature points 300-3000 K with the step of 50 K
19 path length points; 0.01,0.05,0.1,0.2,0.3,0.4,0.5,0.75,1.0,1.5,2.0,3.0,5.0,10.015.0,20.0,30.0,45.0,60.0 m 
==================================================================================================================
  Pt (atm)    a(i,j)or k(i)         b4            b3            b2            b1            b0 
 ========================================================================================================
 1.000000         1 1       -2.284288e-03  2.617365e-02  -1.137195e-01  2.396850e-01  4.623013e-02  
 1.000000         1 2       6.217703e-03  -6.583856e-02  2.647296e-01  -5.688900e-01  1.877174e-01  
 1.000000         1 3       -6.268133e-03  6.298566e-02  -2.357480e-01  4.914341e-01  -3.163377e-01  
 1.000000         1 4       2.771233e-03  -2.689829e-02  9.491505e-02  -1.883428e-01  1.628232e-01  
 1.000000         1 5       -4.522180e-04  4.287841e-03  -1.444536e-02  2.716769e-02  -2.807706e-02  
 1.000000         1 0       3.925466e-01  -4.874551e+00  2.226038e+01  -4.354789e+01  1.007355e+02  
 1.000000         2 1       -4.790731e-03  4.200498e-02  -1.123496e-01  3.412057e-02  2.705463e-01  
 1.000000         2 2       -1.759965e-03  4.185653e-02  -3.008790e-01  1.017223e+00  -5.421314e-01  
 1.000000         2 3       1.419445e-02  -1.674560e-01  7.587535e-01  -1.779897e+00  6.577641e-01  
 1.000000         2 4       -1.055374e-02  1.165156e-01  -4.861828e-01  1.024777e+00  -3.696223e-01  
 1.000000         2 5       2.270164e-03  -2.443076e-02  9.844064e-02  -1.968961e-01  7.346867e-02  
 1.000000         2 0       -4.838763e-02  3.998783e-01  -1.139831e+00  1.921401e+00  4.526794e+00  
 1.000000         3 1       4.177880e-03  -3.759496e-02  1.101691e-01  -9.575673e-02  5.024623e-01  
 1.000000         3 2       -1.396120e-03  -9.010979e-04  9.374154e-02  -4.344132e-01  -5.569156e-01  
 1.000000         3 3       -2.822636e-03  4.206481e-02  -2.406843e-01  7.007873e-01  7.783647e-01  
 1.000000         3 4       -1.319776e-03  6.077553e-03  2.569418e-02  -2.247674e-01  -3.974124e-01  
 1.000000         3 5       9.356378e-04  -7.867353e-03  1.829665e-02  1.078590e-02  6.222402e-02  
 1.000000         3 0       -1.166689e-03  1.131983e-02  -3.901999e-02  5.888099e-02  3.450182e-02  
 1.000000         4 1       8.293030e-03  -7.907321e-02  2.561425e-01  -2.895377e-01  1.173731e-01  
 1.000000         4 2       -2.087515e-02  1.812460e-01  -4.799860e-01  1.757564e-01  1.135997e+00  
 1.000000         4 3       8.700254e-03  -4.810693e-02  -6.709245e-02  9.014398e-01  -1.877235e+00  
 1.000000         4 4       1.670849e-03  -3.651204e-02  2.542074e-01  -8.091464e-01  1.032132e+00  
 1.000000         4 5       -1.033252e-03  1.379100e-02  -7.127879e-02  1.850140e-01  -1.929329e-01  
 1.000000         4 0       -1.556421e-02  1.447582e-01  -4.682404e-01  6.595561e-01  3.687629e-01  
