!!$**********************************************************************************
!!$
!!$                     COPYRIGHT (C) 2020 HADI BORDBAR
!!$
!!$                     DEPARTMENT OF CIVIL ENGINEERING
!!$                       AALTO UNIVERSITY, FINLAND
!!$
!!$	License: 
!!$		Used for non-commercial purposes only with the permission of the copywriter
!!$		Not to be distributed without the permission of the copywriter
!!$
!!$**********************************************************************************
=========================================================================================
The final model parameters for pressurized WSGG model
Based on Emissivity datasets obtained by LBL data
of linear absorption coefficient of two gases
Programmed and obtained by Hadi Bordbar, Aalto University, Finland.
=========================================================================================
Case Information
Total Pressure=20.000000 atm
The emissivity datasets have been obtained for the following conditions
33 Mr points: 0.1, 0.125....4.0
55 temperature points 300-3000 K with the step of 50 K
19 path length points; 0.01,0.05,0.1,0.2,0.3,0.4,0.5,0.75,1.0,1.5,2.0,3.0,5.0,10.015.0,20.0,30.0,45.0,60.0 m 
==================================================================================================================
  Pt (atm)    a(i,j)or k(i)         b4            b3            b2            b1            b0 
 ========================================================================================================
 20.000000         1 1       1.331811e-02  -1.123145e-01  2.796435e-01  -6.723503e-02  8.476115e-02  
 20.000000         1 2       -7.958828e-04  -4.398512e-02  4.997535e-01  -1.990071e+00  2.081090e+00  
 20.000000         1 3       -3.876307e-02  4.358715e-01  -1.913845e+00  4.377466e+00  -3.410468e+00  
 20.000000         1 4       3.207074e-02  -3.411342e-01  1.382531e+00  -2.829550e+00  1.895922e+00  
 20.000000         1 5       -7.225179e-03  7.555593e-02  -2.978540e-01  5.821776e-01  -3.572047e-01  
 20.000000         1 0       -1.759639e-02  1.896745e-01  -7.427428e-01  1.241320e+00  2.431707e-01  
 20.000000         2 1       2.743765e-03  -2.609720e-02  8.688975e-02  -1.198801e-01  4.512912e-02  
 20.000000         2 2       -7.136278e-03  6.865798e-02  -2.378746e-01  3.817072e-01  -4.774237e-01  
 20.000000         2 3       7.257749e-03  -6.792058e-02  2.315768e-01  -4.079247e-01  1.079978e+00  
 20.000000         2 4       -2.376835e-03  2.068527e-02  -6.546876e-02  1.299829e-01  -5.968288e-01  
 20.000000         2 5       1.656427e-04  -9.758222e-04  1.337948e-03  -6.677347e-03  1.049748e-01  
 20.000000         2 0       -5.327733e-05  6.238492e-04  -2.737312e-03  5.431144e-03  3.048493e-03  
 20.000000         3 1       -3.519929e-03  2.353401e-02  -2.208373e-02  -1.159874e-01  7.921502e-01  
 20.000000         3 2       -8.780608e-03  1.068810e-01  -5.082955e-01  1.215125e+00  -1.229872e+00  
 20.000000         3 3       2.582505e-02  -2.713840e-01  1.077081e+00  -2.100503e+00  9.594671e-01  
 20.000000         3 4       -1.754875e-02  1.797780e-01  -6.846755e-01  1.246936e+00  -3.961713e-01  
 20.000000         3 5       3.676947e-03  -3.731083e-02  1.396485e-01  -2.456678e-01  6.568010e-02  
 20.000000         3 0       -5.458769e-02  7.827141e-01  -3.962221e+00  8.168636e+00  4.331254e+00  
 20.000000         4 1       -1.305520e-02  1.198245e-01  -3.612283e-01  3.272493e-01  7.422576e-02  
 20.000000         4 2       2.063385e-02  -1.685787e-01  3.675206e-01  2.330556e-01  -4.074612e-01  
 20.000000         4 3       5.528790e-04  -4.858304e-02  4.506835e-01  -1.672450e+00  1.561661e+00  
 20.000000         4 4       -1.205860e-02  1.404616e-01  -6.353670e-01  1.468628e+00  -1.142395e+00  
 20.000000         4 5       3.893016e-03  -4.225769e-02  1.742163e-01  -3.561903e-01  2.442043e-01  
 20.000000         4 0       -1.594243e-03  1.729956e-02  -6.909694e-02  1.215484e-01  3.352933e-02  
