!!$**********************************************************************************
!!$
!!$                     COPYRIGHT (C) 2020 HADI BORDBAR
!!$
!!$                     DEPARTMENT OF CIVIL ENGINEERING
!!$                       AALTO UNIVERSITY, FINLAND
!!$
!!$	License: 
!!$		Used for non-commercial purposes only with the permission of the copywriter
!!$		Not to be distributed without the permission of the copywriter
!!$
!!$**********************************************************************************
=========================================================================================
The final model parameters for pressurized WSGG model
Based on Emissivity datasets obtained by LBL data
of linear absorption coefficient of two gases
Programmed and obtained by Hadi Bordbar, Aalto University, Finland.
=========================================================================================
Case Information
Total Pressure=0.500000 atm
The emissivity datasets have been obtained for the following conditions
33 Mr points: 0.1, 0.125....4.0
55 temperature points 300-3000 K with the step of 50 K
19 path length points; 0.01,0.05,0.1,0.2,0.3,0.4,0.5,0.75,1.0,1.5,2.0,3.0,5.0,10.015.0,20.0,30.0,45.0,60.0 m 
==================================================================================================================
  Pt (atm)    a(i,j)or k(i)         b4            b3            b2            b1            b0 
 ========================================================================================================
 0.500000         1 1       5.100810e-04  -6.613310e-03  3.185401e-02  -6.514578e-02  1.790336e-01  
 0.500000         1 2       -2.807768e-02  2.753848e-01  -9.508619e-01  1.307697e+00  1.242048e-01  
 0.500000         1 3       3.857082e-02  -3.724303e-01  1.248041e+00  -1.582371e+00  -2.455800e-01  
 0.500000         1 4       -1.915636e-02  1.830551e-01  -6.010547e-01  7.191553e-01  9.069428e-02  
 0.500000         1 5       3.343665e-03  -3.170570e-02  1.025379e-01  -1.176581e-01  -8.239740e-03  
 0.500000         1 0       1.193730e-02  -1.037937e-01  2.911228e-01  -2.704816e-01  1.491121e+00  
 0.500000         2 1       -4.550049e-03  4.350045e-02  -1.421318e-01  1.558548e-01  1.355420e-01  
 0.500000         2 2       7.022615e-03  -5.954993e-02  1.329750e-01  1.770962e-01  -2.996843e-01  
 0.500000         2 3       -3.689411e-03  2.242348e-02  2.852012e-02  -5.566342e-01  3.782268e-01  
 0.500000         2 4       5.859021e-04  1.796657e-03  -6.329496e-02  3.605675e-01  -2.124832e-01  
 0.500000         2 5       2.887805e-05  -1.709898e-03  1.653725e-02  -7.270406e-02  4.183311e-02  
 0.500000         2 0       1.655827e-01  -1.488000e+00  4.479874e+00  -5.580936e+00  1.721516e+01  
 0.500000         3 1       -1.329112e-03  1.428521e-02  -5.930153e-02  1.337076e-01  -2.672060e-03  
 0.500000         3 2       2.450430e-03  -2.895199e-02  1.395831e-01  -3.930439e-01  2.594118e-01  
 0.500000         3 3       -1.914471e-03  2.410036e-02  -1.266734e-01  3.974786e-01  -3.885922e-01  
 0.500000         3 4       7.351179e-04  -9.578858e-03  5.257690e-02  -1.737920e-01  2.022840e-01  
 0.500000         3 5       -1.125028e-04  1.488177e-03  -8.317120e-03  2.811847e-02  -3.599272e-02  
 0.500000         3 0       1.806695e+00  -1.751395e+01  5.971801e+01  -8.820429e+01  1.911202e+02  
 0.500000         4 1       7.028215e-03  -6.596720e-02  2.098937e-01  -2.375673e-01  3.737215e-01  
 0.500000         4 2       5.887318e-03  -7.458596e-02  3.705651e-01  -9.408038e-01  7.126313e-01  
 0.500000         4 3       -2.634000e-02  2.798055e-01  -1.116914e+00  2.170120e+00  -1.272171e+00  
 0.500000         4 4       1.466870e-02  -1.548767e-01  6.132005e-01  -1.184317e+00  7.493776e-01  
 0.500000         4 5       -2.382253e-03  2.538902e-02  -1.021139e-01  2.040157e-01  -1.541931e-01  
 0.500000         4 0       -7.166366e-04  7.658088e-03  -3.043043e-02  5.603451e-02  7.690453e-02  
