!!$**********************************************************************************
!!$
!!$                     COPYRIGHT (C) 2020 HADI BORDBAR
!!$
!!$                     DEPARTMENT OF CIVIL ENGINEERING
!!$                       AALTO UNIVERSITY, FINLAND
!!$
!!$	License: 
!!$		Used for non-commercial purposes only with the permission of the copywriter
!!$		Not to be distributed without the permission of the copywriter
!!$
!!$**********************************************************************************
=========================================================================================
The final model parameters for pressurized WSGG model
Based on Emissivity datasets obtained by LBL data
of linear absorption coefficient of two gases
Programmed and obtained by Hadi Bordbar, Aalto University, Finland.
=========================================================================================
Case Information
Total Pressure=10.000000 atm
The emissivity datasets have been obtained for the following conditions
33 Mr points: 0.1, 0.125....4.0
55 temperature points 300-3000 K with the step of 50 K
19 path length points; 0.01,0.05,0.1,0.2,0.3,0.4,0.5,0.75,1.0,1.5,2.0,3.0,5.0,10.015.0,20.0,30.0,45.0,60.0 m 
==================================================================================================================
  Pt (atm)    a(i,j)or k(i)         b4            b3            b2            b1            b0 
 ========================================================================================================
 10.000000         1 1       -1.496629e-02  1.421341e-01  -4.691885e-01  6.331470e-01  2.168424e-01  
 10.000000         1 2       5.070635e-02  -4.747396e-01  1.533042e+00  -2.008763e+00  3.448659e-02  
 10.000000         1 3       -5.230401e-02  4.791696e-01  -1.488743e+00  1.815621e+00  4.246824e-01  
 10.000000         1 4       1.802122e-02  -1.579249e-01  4.494931e-01  -4.490055e-01  -4.238273e-01  
 10.000000         1 5       -1.734850e-03  1.343412e-02  -2.760782e-02  -3.096455e-04  1.005198e-01  
 10.000000         1 0       -1.504968e-03  1.652234e-02  -6.904709e-02  1.428499e-01  5.472497e-02  
 10.000000         2 1       8.740880e-04  -9.432127e-03  4.248033e-02  -1.168679e-01  5.462117e-03  
 10.000000         2 2       -4.852331e-03  5.484645e-02  -2.571056e-01  7.150122e-01  -4.454949e-01  
 10.000000         2 3       9.198093e-03  -9.921630e-02  4.343871e-01  -1.123494e+00  1.304652e+00  
 10.000000         2 4       -4.272839e-03  4.639389e-02  -2.087400e-01  5.766350e-01  -8.095371e-01  
 10.000000         2 5       5.186719e-04  -5.897583e-03  2.939671e-02  -9.531687e-02  1.557097e-01  
 10.000000         2 0       -1.223789e-05  2.249948e-04  -1.484148e-03  4.761128e-03  6.694543e-03  
 10.000000         3 1       2.531410e-02  -2.383636e-01  7.664877e-01  -9.183055e-01  2.601958e-01  
 10.000000         3 2       -5.787741e-02  5.262121e-01  -1.564726e+00  1.398112e+00  1.224826e+00  
 10.000000         3 3       3.658729e-02  -3.033193e-01  6.948536e-01  2.236614e-01  -2.377124e+00  
 10.000000         3 4       -6.634326e-03  3.508285e-02  7.384617e-02  -7.912227e-01  1.401767e+00  
 10.000000         3 5       -2.751454e-04  8.384561e-03  -6.646919e-02  2.281969e-01  -2.729518e-01  
 10.000000         3 0       -2.113391e-02  2.254154e-01  -8.968627e-01  1.695680e+00  4.382220e-01  
 10.000000         4 1       -1.225215e-02  1.153910e-01  -3.711635e-01  4.402168e-01  5.028699e-01  
 10.000000         4 2       1.919295e-02  -1.732748e-01  5.011894e-01  -3.552910e-01  -7.767541e-01  
 10.000000         4 3       -6.689161e-03  4.654046e-02  -3.076709e-02  -4.542481e-01  6.763323e-01  
 10.000000         4 4       -1.588183e-03  2.582802e-02  -1.602803e-01  5.027007e-01  -3.198384e-01  
 10.000000         4 5       8.558886e-04  -1.034192e-02  4.931712e-02  -1.226863e-01  5.899124e-02  
 10.000000         4 0       -3.965682e-02  5.250286e-01  -2.674991e+00  6.663554e+00  9.004049e+00  
